,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/10/2020,02:30 (ET),OKC@PHX,Oklahoma City Thunder,"Adams, Steven",Out,Injury/Illness - Left Lower Leg; Contusion
1,,,,,"Gallinari, Danilo",Out,Injury/Illness - Left Ankle; Injury Maintenance
2,,,,,"Gilgeous-Alexander, Shai",Out,Injury/Illness - Right Calf; Contusion
3,,,,,"Noel, Nerlens",Out,Injury/Illness - Right Ankle; Sprain
4,,,,,"Schroder, Dennis",Out,Personal Reasons
5,,,,Phoenix Suns,"Baynes, Aron",Out,Injury/Illness - Right Knee; Bone Contusion
6,,,,,"Okobo, Elie",Out,Injury/Illness - Right Ankle; Sprain
7,,,,,"Oubre Jr., Kelly",Out,Injury/Illness - Right Knee; Rehab
8,,03:00 (ET),DAL@UTA,Dallas Mavericks,"Curry, Seth",Available,Injury/Illness - Right Leg; Soreness
9,,,,,"Doncic, Luka",Out,Injury/Illness - Right Ankle; Injury Recovery
10,,,,,"Finney-Smith, Dorian",Out,Injury/Illness - Left Hip; Strain
11,,,,,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
12,,,,,"Porzingis, Kristaps",Out,Injury/Illness - Left Knee; Injury Recovery
13,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
14,,,,Utah Jazz,"Mitchell, Donovan",Out,Injury/Illness - Left Lower Leg; Peroneal strain
15,,,,,"Morgan, Juwan",Out,Injury/Illness - Right Knee; Soreness
16,,,,,"Williams-Goss, Nigel",Out,Injury/Illness - Left Ankle; Sprain
17,,06:30 (ET),TOR@MIL,Milwaukee Bucks,"Antetokounmpo, Giannis",Out,Injury/Illness - Tooth; Oral surgery
18,,,,Toronto Raptors,"Brissett, Oshae",Out,Injury/Illness - Right Knee; Soreness
19,,,,,"Ibaka, Serge",Out,Injury/Illness - Right Knee; Contusion
20,,,,,"Lowry, Kyle",Questionable,Injury/Illness - Back; Lower; soreness
21,,,,,"McCaw, Patrick",Out,Injury/Illness - Left Knee; Soreness
22,,,,,"VanVleet, Fred",Out,Injury/Illness - Right Knee; Hyperextention
23,,08:00 (ET),IND@MIA,Indiana Pacers,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn Left ACL
