,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/25/2020,12:00 (ET),NOP@MIA,Miami Heat,"Butler, Jimmy",Questionable,Injury/Illness - Right Ankle; Sprain
1,,,,,"Vincent, Gabe",Questionable,Injury/Illness - Right Knee; Procedure
2,,,,New Orleans Pelicans,"Gabriel, Wenyen",Out,Injury/Illness - Right Knee/quadriceps; Tendinosis
3,,,,,"Magnay, Will",Out,Not With Team
4,,02:30 (ET),GSW@MIL,Golden State Warriors,"Green, Draymond",Out,Injury/Illness - Right Foot; Soreness
5,,,,,"Smailagic, Alen",Out,Injury/Illness - Right Knee; Soreness
6,,,,,"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Repair
7,,,,Milwaukee Bucks,"Augustin, D.J.",Probable,Injury/Illness - Left Calf; Strain
8,,05:00 (ET),BKN@BOS,Boston Celtics,"Fall, Tacko",Out,Injury/Illness - Right Eye; Irritation
9,,,,,"Langford, Romeo",Out,Injury/Illness - Right Wrist; Surgery
10,,,,,"Walker, Kemba",Out,Injury/Illness - Left Knee; Injury Recovery
11,,,,Brooklyn Nets,"Claxton, Nicolas",Out,Injury/Illness - Right Knee; Tendinopathy
12,,08:00 (ET),DAL@LAL,Dallas Mavericks,"Porzingis, Kristaps",Out,Injury/Illness - Right Knee; Surgery
13,,,,Los Angeles Lakers,"Davis, Anthony",Probable,Injury/Illness - Right Calf; Contusion
14,,,,,"James, LeBron",Probable,Injury/Illness - Left Ankle; Soreness
15,,10:30 (ET),LAC@DEN,Denver Nuggets,"Green, JaMychal",Out,Injury/Illness - Left Calf; Strain
16,,,,,"Murray, Jamal",Probable,Injury/Illness - Left Calf; Tightness
17,,,,,"Whittington, Greg",Out,Injury/Illness - Left Knee; Strain
18,,,,LA Clippers,"Morris Sr., Marcus",Out,Injury/Illness - Right Knee; Soreness
