,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/11/2020,01:00 (ET),BKN@ORL,Brooklyn Nets,"Allen, Jarrett",Out,Injury/Illness - Left Ankle; Sprain - Injury Management
1,,,,,"Crawford, Jamal",Out,Injury/Illness - Left Hamstring; Strain
2,,,,,"Harris, Joe",Out,Injury/Illness - Left Groin; Contusion - Injury Management
3,,,,,"LeVert, Caris",Out,Injury/Illness - Left Thigh; Contusion - Injury Management
4,,,,,"Temple, Garrett",Out,Rest
5,,,,Orlando Magic,"Bamba, Mo",Out,Injury/Illness - Head; Migraine Headache
6,,,,,"Carter-Williams, Michael",Out,Injury/Illness - Left Foot; Strained Tendon
7,,,,,"Fournier, Evan",Out,Injury/Illness - N/A; Non-Covid Illness
8,,,,,"Gordon, Aaron",Out,Injury/Illness - Left Hamstring; Strain
9,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Torn ACL
10,,,,,"Ross, Terrence",Out,Not With Team - Self Isolating
11,,02:00 (ET),HOU@SAS,Houston Rockets,"Gordon, Eric",Out,Injury/Illness - Left Ankle; Sprain
12,,,,,"Harden, James",Out,Rest
13,,,,,"House Jr., Danuel",Questionable,Injury/Illness - Left Toe; Sprain
14,,,,,"Westbrook, Russell",Questionable,Injury/Illness - Right Quad; Contusion
15,,,,San Antonio Spurs,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
16,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
17,,,,,"White, Derrick",Questionable,Injury/Illness - Left Knee; Contusion
18,,,,,"Zeller, Tyler",Out,Injury/Illness - Right Knee; Bone Contusion
19,,04:30 (ET),PHX@PHI,Philadelphia 76ers,"Embiid, Joel",Out,Injury/Illness - Left Ankle; Injury
20,,,,,"Harris, Tobias",Questionable,Injury/Illness - Right Ankle; Soreness
21,,,,,"Horford, Al",Questionable,Injury/Illness - Left Knee; Soreness
22,,,,,"Richardson, Josh",Out,Rest
23,,,,,"Simmons, Ben",Out,Injury/Illness - Left Knee; Surgery
24,,,,Phoenix Suns,,,NOT YET SUBMITTED
25,,05:00 (ET),BOS@MEM,Boston Celtics,"Theis, Daniel",Probable,Injury/Illness - Right Foot; Soreness
26,,,,Memphis Grizzlies,"Jackson Jr., Jaren",Out,Injury/Illness - Left Knee; Meniscus Tear
0,,,,,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
1,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
2,,06:30 (ET),POR@DAL,Dallas Mavericks,"Curry, Seth",Probable,Injury/Illness - Right Leg; Soreness
3,,,,,"Finney-Smith, Dorian",Probable,Injury/Illness - Left Hip; Strain
4,,,,,"Kleber, Maxi",Probable,Injury/Illness - Right Knee; Contusion
5,,,,,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
6,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
7,,,,Portland Trail Blazers,"Whiteside, Hassan",Probable,Injury/Illness - Left Hip; Strain
8,,09:00 (ET),MIL@WAS,Milwaukee Bucks,,,NOT YET SUBMITTED
9,,,,Washington Wizards,"Mathews, Garrison",Out,Not With Team
10,,,,,"Napier, Shabazz",Questionable,Injury/Illness - Right Ankle; sprain
11,,,NOP@SAC,New Orleans Pelicans,"Holiday, Jrue",Out,Injury/Illness - Right Elbow; Contusion
12,,,,,"Ingram, Brandon",Out,Injury/Illness - Right Knee; Soreness
13,,,,,"Williamson, Zion",Out,Injury/Illness - Right Knee; Soreness
14,,,,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
15,,,,,"Bazemore, Kent",Questionable,Injury/Illness - Left Calf; Soreness
16,,,,,"Fox, De'Aaron",Out,Injury/Illness - Left Shoulder; Soreness
17,,,,,"Holmes, Richaun",Out,Injury/Illness - Right Hip; Soreness
18,08/12/2020,04:00 (ET),IND@HOU,Houston Rockets,,,NOT YET SUBMITTED
19,,,,Indiana Pacers,,,NOT YET SUBMITTED
20,,06:30 (ET),TOR@PHI,Philadelphia 76ers,,,NOT YET SUBMITTED
21,,,,Toronto Raptors,,,NOT YET SUBMITTED
22,,08:00 (ET),MIA@OKC,Miami Heat,,,NOT YET SUBMITTED
23,,,,Oklahoma City Thunder,,,NOT YET SUBMITTED
24,,09:00 (ET),LAC@DEN,Denver Nuggets,,,NOT YET SUBMITTED
25,,,,LA Clippers,,,NOT YET SUBMITTED
