,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/27/2020,03:30 (ET),DAL@LAC,Dallas Mavericks,"Porzingis, Kristaps",Out,Injury/Illness - Right Knee; Surgery
1,,,,LA Clippers,"Leonard, Kawhi",Out,Injury/Illness - Mouth; Laceration
2,,,,,"Morris Sr., Marcus",Out,Injury/Illness - Right Knee; Soreness
3,,07:00 (ET),BKN@CHA,Brooklyn Nets,"Claxton, Nicolas",Out,Injury/Illness - Right Knee; Tendinopathy
4,,,,Charlotte Hornets,"Zeller, Cody",Out,Injury/Illness - Left Hand; Fracture
5,,,ORL@WAS,Orlando Magic,"Aminu, Al-Farouq",Out,Injury/Illness - Right Knee; Injury Recovery
6,,,,,"Ennis III, James",Out,Injury/Illness - Right Calf/hamstring; Strain
7,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury Recovery
8,,,,Washington Wizards,,,Injury/Illness - Bilateral Eye; Bi-lateral epidemic
9,,,,,"Hachimura, Rui",Out,
10,,,,,,,keratoconjunctivitis
11,,,,,"Mathews, Garrison",Out,G League - Two-Way
12,,,,,"Westbrook, Russell",Out,Rest - Rest
13,,,,,"Winston, Cassius",Out,G League - Two-Way
14,,,SAS@NOP,New Orleans Pelicans,"Gabriel, Wenyen",Out,Injury/Illness - Right Knee/quadriceps; Tendinosis
15,,,,San Antonio Spurs,"Weatherspoon, Quinndary",Out,Injury/Illness - Left Knee; Surgery
16,,,,,"White, Derrick",Out,Injury/Illness - Left Toe; Surgery
17,,07:30 (ET),MIL@NYK,New York Knicks,"Knox II, Kevin",Probable,Injury/Illness - Left Knee; sore
18,,,,,"Quickley, Immanuel",Doubtful,Injury/Illness - Left Hip; sore
19,,,,,"Rivers, Austin",Out,Injury/Illness - Groin; sore
20,,,,,"Smith Jr., Dennis",Questionable,Injury/Illness - Left Quadricep; contused
21,,,,,"Spellman, Omari",Out,Injury/Illness - Right Knee; sore
22,,,,,"Toppin, Obi",Out,Injury/Illness - Right Calf; strain
23,,,PHI@CLE,Cleveland Cavaliers,"Dellavedova, Matthew",Out,Injury/Illness - Head; Concussion
24,,,,,"Love, Kevin",Questionable,Injury/Illness - Right Calf; Strain
25,,,,,"Okoro, Isaac",Out,Injury/Illness - Left Foot; Sprain - Health and Safety Protocols
26,,,,,"Porter Jr., Kevin",Out,Personal Reasons
27,,,,,"Windler, Dylan",Out,Injury/Illness - Left Hand; Fracture
0,,08:00 (ET),BOS@IND,Boston Celtics,"Fall, Tacko",Out,Injury/Illness - Right Eye; Irritation
1,,,,,"Langford, Romeo",Out,Injury/Illness - Right Wrist; Surgery
2,,,,,"Walker, Kemba",Out,Injury/Illness - Left Knee; Injury Recovery
3,,,,Indiana Pacers,"Bitadze, Goga",Out,Injury/Illness - Right Ankle; Sprain
4,,,,,"Bowen II, Brian",Out,Injury/Illness - Left Groin; Partial Tear
5,,,,,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn ACL
6,,,,,"Sumner, Edmond",Questionable,Injury/Illness - Not Available; Illness
7,,,GSW@CHI,Chicago Bulls,"Young, Thaddeus",Out,Injury/Illness - Left Lower Leg; Infection
8,,,,Golden State Warriors,"Chriss, Marquese",Out,Injury/Illness - Right Syndesmosis; Injury with Fibular Fracture
9,,,,,"Green, Draymond",Out,Injury/Illness - Right Foot; Soreness
10,,,,,"Smailagic, Alen",Out,Injury/Illness - Right Knee; Soreness
11,,,,,"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Repair
12,,09:00 (ET),PHX@SAC,Phoenix Suns,"Nader, Abdel",Out,Injury/Illness - N/a; Concussion protocol
13,,,,,"Saric, Dario",Out,Injury/Illness - Right Quad; Soreness
14,,,,,"Smith, Jalen",Questionable,Injury/Illness - Left Ankle; Sprain
15,,,,Sacramento Kings,"Jeffries, DaQuan",Out,Injury/Illness - Back; Soreness
16,,10:00 (ET),MIN@LAL,Los Angeles Lakers,"Davis, Anthony",Out,Injury/Illness - Right Calf; Contusion
17,,,,,"James, LeBron",Available,Injury/Illness - Left Ankle; Soreness
18,,,,Minnesota Timberwolves,"Nowell, Jaylen",Out,Injury/Illness - Left Soleus; Strain
19,,,,,"Towns, Karl-Anthony",Questionable,Injury/Illness - Left Wrist; Injury
20,12/28/2020,07:30 (ET),DET@ATL,Atlanta Hawks,"Capela, Clint",Probable,Injury/Illness - Left Achilles; Soreness
21,,,,,"Dunn, Kris",Out,Injury/Illness - Right Ankle; Surgery
22,,,,,"Gallinari, Danilo",Questionable,Injury/Illness - Left Foot; Contusion
23,,,,,"Okongwu, Onyeka",Out,Injury/Illness - Left Foot; Inflammation
24,,,,,"Snell, Tony",Out,Injury/Illness - Right Foot; Inflammation
25,,,,Detroit Pistons,"Doumbouya, Sekou",Probable,Injury/Illness - Right Foot; Soreness
26,,,,,"Griffin, Blake",Out,Injury/Illness - Left Knee; Injury Management
0,,,,,"Okafor, Jahlil",Questionable,Injury/Illness - Right Ankle; Sprain
1,,,,,"Rose, Derrick",Out,Rest
2,,,MEM@BKN,Brooklyn Nets,,,NOT YET SUBMITTED
3,,,,Memphis Grizzlies,"Jackson Jr., Jaren",Out,Injury/Illness - Left Knee; Meniscus surgery recovery
4,,,,,"Melton, De'Anthony",Out,Health and Safety Protocols
5,,,,,"Porter, Jontay",Out,Injury/Illness - Right Knee; Soreness
