,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/23/2020,07:00 (ET),CHA@CLE,Charlotte Hornets,"Riller, Grant",Out,Injury/Illness - Left Knee; Injury
1,,,,Cleveland Cavaliers,"Dellavedova, Matthew",Out,Injury/Illness - Head; Concussion
2,,,,,"Exum, Dante",Out,Injury/Illness - Left Hip; Strain
3,,,,,"Love, Kevin",Out,Injury/Illness - Right Calf; Strain
4,,,,,"Porter Jr., Kevin",Out,Personal Reasons
5,,,MIA@ORL,Miami Heat,"Vincent, Gabe",Questionable,Injury/Illness - Right Knee; Procedure
6,,,,Orlando Magic,"Aminu, Al-Farouq",Out,Injury/Illness - Right Knee; Rehabilitation
7,,,,,"Ennis III, James",Out,Injury/Illness - Right Hamstring/calf; Strain
8,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Rehabilitation
9,,,NYK@IND,Indiana Pacers,"Bitadze, Goga",Out,Injury/Illness - Right Ankle; Sprain
10,,,,,"Bowen II, Brian",Out,Injury/Illness - Left Groin; Partial Tear
11,,,,,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn ACL
12,,,,,"Warren, T.J.",Questionable,Injury/Illness - Right Foot; Plantar Fasciitis
13,,,,New York Knicks,"Rivers, Austin",Out,Injury/Illness - Right Groin; sore
14,,,,,"Robinson, Mitchell",Probable,Injury/Illness - Right Ankle; sprained
15,,,,,"Smith Jr., Dennis",Probable,Injury/Illness - Left Quadricep; contused
16,,,,,"Spellman, Omari",Out,Injury/Illness - Right Knee; sore
17,,,WAS@PHI,Washington Wizards,,,Injury/Illness - Bilateral Eye; Bi-lateral epidemic
18,,,,,"Hachimura, Rui",Out,
19,,,,,,,keratoconjunctivitis
20,,,,,"Mathews, Garrison",Out,G League - Two-Way
21,,,,,"Winston, Cassius",Out,G League - Two-Way
22,,07:30 (ET),MIL@BOS,Boston Celtics,"Fall, Tacko",Out,Injury/Illness - Right Eye; Irritation
23,,,,,"Langford, Romeo",Out,Injury/Illness - Right Wrist; Surgery
24,,,,,"Walker, Kemba",Out,Injury/Illness - Left Knee; Rehabilitation
25,,,,Milwaukee Bucks,"Augustin, D.J.",Out,Injury/Illness - Left Calf; Strain
26,,,NOP@TOR,New Orleans Pelicans,"Gabriel, Wenyen",Out,Injury/Illness - Right Knee/quadriceps; Tendinosis
27,,,,,"Magnay, Will",Out,Not With Team
0,,,,Toronto Raptors,"McCaw, Patrick",Out,Injury/Illness - Left Knee; Surgery - Rehabilitation
1,,,,,"Powell, Norman",Questionable,Health and Safety Protocols
2,,08:00 (ET),ATL@CHI,Atlanta Hawks,"Capela, Clint",Doubtful,Injury/Illness - Left Achilles; Soreness
3,,,,,"Dunn, Kris",Out,Injury/Illness - Right Knee; Cartilage Disruption
4,,,,,"Goodwin, Brandon",Questionable,Injury/Illness - Right Elbow; Sprain
5,,,,,"Huerter, Kevin",Probable,Injury/Illness - Right Elbow; Soreness
6,,,,,"Okongwu, Onyeka",Out,Injury/Illness - Left Foot; Inflammation
7,,,,,"Reddish, Cam",Probable,Injury/Illness - Right Ankle; Soreness
8,,,,,"Rondo, Rajon",Out,Health and Safety Protocols
9,,,,,"Snell, Tony",Out,Injury/Illness - Right Foot; Inflammation
10,,,,Chicago Bulls,"Dotson, Devon",Available,-
11,,,,,"Satoransky, Tomas",Available,-
12,,,,,"Young, Thaddeus",Out,Injury/Illness - Left Lower Leg; Infection
13,,,DET@MIN,Detroit Pistons,"Sirvydis, Deividas",Out,Not With Team
14,,,,Minnesota Timberwolves,"McLaughlin, Jordan",Out,Health and Safety Protocols
