,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/26/2020,05:00 (ET),ATL@MEM,Atlanta Hawks,"Capela, Clint",Out,Injury/Illness - Left Achilles; Soreness
1,,,,,"Dunn, Kris",Out,Injury/Illness - Right Knee; Cartilage Disruption
2,,,,,"Gallinari, Danilo",Out,Injury/Illness - Left Foot; Contusion
3,,,,,"Goodwin, Brandon",Available,Injury/Illness - Right Elbow; Sprain
4,,,,,"Okongwu, Onyeka",Out,Injury/Illness - Left Foot; Inflammation
5,,,,,"Rondo, Rajon",Available,Health and Safety Protocols
6,,,,,"Snell, Tony",Out,Injury/Illness - Right Foot; Inflammation
7,,,,Memphis Grizzlies,"Jackson Jr., Jaren",Out,Injury/Illness - Left Knee; Meniscus surgery recovery
8,,,,,"Melton, De'Anthony",Out,Health and Safety Protocols
9,,,,,"Porter, Jontay",Out,Injury/Illness - Right Knee; Soreness
10,,,,,"Tillie, Killian",Out,Injury/Illness - Right Hamstring; Strain
11,,,,,"Tillman, Xavier",Out,Injury/Illness - Left Patellar; Tendinitis
12,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
13,,07:00 (ET),CLE@DET,Cleveland Cavaliers,"Dellavedova, Matthew",Out,Injury/Illness - Head; Concussion
14,,,,,"Exum, Dante",Available,Injury/Illness - Left Hip; Strain
15,,,,,"Love, Kevin",Available,Injury/Illness - Right Calf; Strain
16,,,,,"Porter Jr., Kevin",Out,Personal Reasons
17,,,,,"Windler, Dylan",Out,Injury/Illness - Left Hand; Fracture
18,,,,Detroit Pistons,"Lee, Saben",Out,G League - Two-Way
19,,,OKC@CHA,Charlotte Hornets,"Riller, Grant",Out,Injury/Illness - Left Knee; Injury
20,,,,,"Zeller, Cody",Out,Injury/Illness - Left Hand; Fracture
21,,,,Oklahoma City Thunder,"Ariza, Trevor",Out,Not With Team
22,,,,,"Jerome, Ty",Out,Injury/Illness - Left Ankle; Sprain
23,,,ORL@WAS,Orlando Magic,"Aminu, Al-Farouq",Out,Injury/Illness - Right Knee; Injury Recovery
24,,,,,"Ennis III, James",Out,Injury/Illness - Right Calf/hamstring; Strain
25,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury Recovery
0,,,,Washington Wizards,,,Injury/Illness - Bilateral Eye; Bi-lateral epidemic
1,,,,,"Hachimura, Rui",Out,
2,,,,,,,keratoconjunctivitis
3,,,,,"Mathews, Garrison",Out,G League - Two-Way
4,,,,,"Winston, Cassius",Out,G League - Two-Way
5,,07:30 (ET),PHI@NYK,New York Knicks,"Quickley, Immanuel",Out,Injury/Illness - Left hip; sore
6,,,,,"Rivers, Austin",Out,Injury/Illness - Groin; sore
7,,,,,"Spellman, Omari",Out,Injury/Illness - Right Knee; sore
8,,,,,"Toppin, Obi",Out,Injury/Illness - Right calf; sore
9,,08:00 (ET),IND@CHI,Chicago Bulls,"Young, Thaddeus",Out,Injury/Illness - Left Lower Leg; Infection
10,,,,Indiana Pacers,"Bitadze, Goga",Out,Injury/Illness - Right Ankle; Sprain
11,,,,,"Bowen II, Brian",Out,Injury/Illness - Left Groin; Partial Tear
12,,,,,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn ACL
13,,,,,"Sumner, Edmond",Out,Injury/Illness - Not Available; Illness
14,,08:30 (ET),TOR@SAS,San Antonio Spurs,"Weatherspoon, Quinndary",Out,Injury/Illness - Left Knee; Surgery
15,,,,,"White, Derrick",Out,Injury/Illness - Left Toe; Surgery
16,,,,Toronto Raptors,"McCaw, Patrick",Out,Injury/Illness - Left Knee; Surgery - rehabilitation
17,,09:00 (ET),MIN@UTA,Minnesota Timberwolves,"McLaughlin, Jordan",Available,-
18,,,,,"Nowell, Jaylen",Out,Injury/Illness - Left Soleus; Strain
19,,,,Utah Jazz,"Favors, Derrick",Available,Injury/Illness - Right Knee; Soreness
20,,10:00 (ET),HOU@POR,Houston Rockets,"Clemons, Chris",Out,Injury/Illness - Right Achilles; Surgery
21,,,,,"Cousins, DeMarcus",Out,Health and Safety Protocols
22,,,,,"Gordon, Eric",Out,Health and Safety Protocols
23,,,,,"Jones, Mason",Out,Health and Safety Protocols
24,,,,,"Martin Jr., Kenyon",Out,Not With Team - Self Isolating
25,,,,,"McLemore, Ben",Out,Not With Team - Self Isolating
26,,,,,"Wall, John",Out,Health and Safety Protocols
27,,,,Portland Trail Blazers,"Collins, Zach",Out,Injury/Illness - Left Ankle; Stress Fracture
0,,,,,"Little, Nassir",Out,Health and Safety Protocols
1,,,PHX@SAC,Phoenix Suns,"Nader, Abdel",Out,Injury/Illness - N/a; Concussion protocol
2,,,,,"Saric, Dario",Out,Injury/Illness - Right Quad; Soreness
3,,,,Sacramento Kings,"Jeffries, DaQuan",Out,Injury/Illness - Back; Soreness
4,,,,,"Parker, Jabari",Available,Injury/Illness - Back; Tightness
5,12/27/2020,03:30 (ET),DAL@LAC,Dallas Mavericks,"Porzingis, Kristaps",Out,Injury/Illness - Right Knee; Surgery
6,,,,LA Clippers,"Leonard, Kawhi",Questionable,Injury/Illness - Mouth; Laceration
7,,,,,"Morris Sr., Marcus",Out,Injury/Illness - Right Knee; Soreness
8,,07:00 (ET),BKN@CHA,Brooklyn Nets,"Claxton, Nicolas",Out,Injury/Illness - Right Knee; Tendinopathy
9,,,,Charlotte Hornets,,,NOT YET SUBMITTED
10,,,ORL@WAS,Orlando Magic,,,NOT YET SUBMITTED
11,,,,Washington Wizards,,,NOT YET SUBMITTED
12,,,SAS@NOP,New Orleans Pelicans,"Gabriel, Wenyen",Out,Injury/Illness - Right Knee/quadriceps; Tendinosis
13,,,,San Antonio Spurs,,,NOT YET SUBMITTED
14,,07:30 (ET),MIL@NYK,New York Knicks,,,NOT YET SUBMITTED
15,,,PHI@CLE,Cleveland Cavaliers,,,NOT YET SUBMITTED
16,,,,Philadelphia 76ers,,,NOT YET SUBMITTED
17,,08:00 (ET),BOS@IND,Boston Celtics,"Fall, Tacko",Out,Injury/Illness - Right Eye; Irritation
18,,,,,"Langford, Romeo",Out,Injury/Illness - Right Wrist; Surgery
19,,,,,"Walker, Kemba",Out,Injury/Illness - Left Knee; Injury Recovery
20,,,,Indiana Pacers,,,NOT YET SUBMITTED
21,,,GSW@CHI,Chicago Bulls,,,NOT YET SUBMITTED
