,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/29/2020,07:00 (ET),BOS@IND,Boston Celtics,"Fall, Tacko",Out,Injury/Illness - Right Eye; Irritation
1,,,,,"Langford, Romeo",Out,Injury/Illness - Right Wrist; Surgery
2,,,,,"Walker, Kemba",Out,Injury/Illness - Left Knee; Injury Recovery
3,,,,Indiana Pacers,"Bitadze, Goga",Out,Injury/Illness - Right Ankle; Sprain
4,,,,,"Bowen II, Brian",Out,Injury/Illness - Left Groin; Partial Tear
5,,,,,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn ACL
6,,,,,"Sumner, Edmond",Questionable,Injury/Illness - Not Available; Illness
7,,,CHI@WAS,Chicago Bulls,"Markkanen, Lauri",Questionable,Injury/Illness - Left Lower Leg; Contusion
8,,,,,"Young, Thaddeus",Available,-
9,,,,Washington Wizards,,,Injury/Illness - Bilateral Eye; Bi-lateral epidemic
10,,,,,"Hachimura, Rui",Out,
11,,,,,,,keratoconjunctivitis
12,,,,,"Winston, Cassius",Out,G League - Two-Way
13,,,GSW@DET,Detroit Pistons,"Doumbouya, Sekou",Probable,Injury/Illness - Right Foot; Soreness
14,,,,,"Jackson, Frank",Out,Not With Team
15,,,,,"Okafor, Jahlil",Doubtful,Injury/Illness - Right Ankle; Sprain
16,,,,Golden State Warriors,"Chriss, Marquese",Out,Injury/Illness - Right Syndesmosis; Injury with Fibular Fracture
17,,,,,"Green, Draymond",Out,Injury/Illness - Right Foot; Soreness
18,,,,,"Smailagic, Alen",Out,Injury/Illness - Right Knee; Soreness
19,,,,,"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Repair
20,,,NYK@CLE,Cleveland Cavaliers,"Dellavedova, Matthew",Out,Injury/Illness - Head; Concussion
21,,,,,"Love, Kevin",Out,Injury/Illness - Right Calf; Strain
22,,,,,"Okoro, Isaac",Out,Injury/Illness - Left Foot; Sprain - Health and Safety Protocols
23,,,,,"Porter Jr., Kevin",Out,Personal Reasons
24,,,,,"Windler, Dylan",Out,Injury/Illness - Left Hand; Fracture
25,,,,New York Knicks,"Burks, Alec",Doubtful,Injury/Illness - Left Ankle; sprained
26,,,,,"Knox II, Kevin",Probable,Injury/Illness - Left Knee; sore
27,,,,,"Quickley, Immanuel",Out,Injury/Illness - Left Hip; sore
0,,,,,"Rivers, Austin",Out,Injury/Illness - Groin; sore
1,,,,,"Smith Jr., Dennis",Out,Injury/Illness - Left Quadricep; contused
2,,,,,"Spellman, Omari",Out,Injury/Illness - Right Knee; sore
3,,,,,"Toppin, Obi",Out,Injury/Illness - Right Calf; strained
4,,,TOR@PHI,Philadelphia 76ers,"Embiid, Joel",Probable,Injury/Illness - Back; Tightness
5,,,,,"Korkmaz, Furkan",Out,Injury/Illness - Left adductor; Strain
