,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/23/2020,07:00 (ET),CHA@CLE,Charlotte Hornets,"Riller, Grant",Out,Injury/Illness - Left Knee; Injury
1,,,,Cleveland Cavaliers,"Dellavedova, Matthew",Out,Injury/Illness - Head; Concussion
2,,,,,"Exum, Dante",Out,Injury/Illness - Left Hip; Strain
3,,,,,"Love, Kevin",Out,Injury/Illness - Right Calf; Strain
4,,,,,"Porter Jr., Kevin",Out,Personal Reasons
5,,,MIA@ORL,Miami Heat,"Strus, Max",Out,Coach's Decision
6,,,,,"Vincent, Gabe",Out,Injury/Illness - Right Knee; Procedure
7,,,,Orlando Magic,"Aminu, Al-Farouq",Out,Injury/Illness - Right Knee; Rehabilitation
8,,,,,"Ennis III, James",Out,Injury/Illness - Right Hamstring/calf; Strain
9,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Rehabilitation
10,,,NYK@IND,Indiana Pacers,"Bitadze, Goga",Out,Injury/Illness - Right Ankle; Sprain
11,,,,,"Bowen II, Brian",Out,Injury/Illness - Left Groin; Partial Tear
12,,,,,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn ACL
13,,,,,"Warren, T.J.",Available,Injury/Illness - Right Foot; Plantar Fasciitis
14,,,,New York Knicks,"Rivers, Austin",Out,Injury/Illness - Right Groin; sore
15,,,,,"Robinson, Mitchell",Probable,Injury/Illness - Right Ankle; sprained
16,,,,,"Smith Jr., Dennis",Probable,Injury/Illness - Left Quadricep; contused
17,,,,,"Spellman, Omari",Out,Injury/Illness - Right Knee; sore
18,,,WAS@PHI,Washington Wizards,,,Injury/Illness - Bilateral Eye; Bi-lateral epidemic
19,,,,,"Hachimura, Rui",Out,
20,,,,,,,keratoconjunctivitis
21,,,,,"Mathews, Garrison",Out,G League - Two-Way
22,,,,,"Winston, Cassius",Out,G League - Two-Way
23,,07:30 (ET),MIL@BOS,Boston Celtics,"Fall, Tacko",Out,Injury/Illness - Right Eye; Irritation
24,,,,,"Langford, Romeo",Out,Injury/Illness - Right Wrist; Surgery
25,,,,,"Walker, Kemba",Out,Injury/Illness - Left Knee; Rehabilitation
26,,,,Milwaukee Bucks,"Augustin, D.J.",Out,Injury/Illness - Left Calf; Strain
27,,,NOP@TOR,New Orleans Pelicans,"Gabriel, Wenyen",Out,Injury/Illness - Right Knee/quadriceps; Tendinosis
0,,,,,"Magnay, Will",Out,Not With Team
1,,,,Toronto Raptors,"McCaw, Patrick",Out,Injury/Illness - Left Knee; Surgery - Rehabilitation
2,,,,,"Powell, Norman",Available,-
3,,08:00 (ET),ATL@CHI,Atlanta Hawks,"Capela, Clint",Out,Injury/Illness - Left Achilles; Soreness
4,,,,,"Dunn, Kris",Out,Injury/Illness - Right Knee; Cartilage Disruption
5,,,,,"Goodwin, Brandon",Available,Injury/Illness - Right Elbow; Sprain
6,,,,,"Huerter, Kevin",Available,Injury/Illness - Right Elbow; Soreness
7,,,,,"Okongwu, Onyeka",Out,Injury/Illness - Left Foot; Inflammation
8,,,,,"Reddish, Cam",Available,Injury/Illness - Right Ankle; Soreness
9,,,,,"Rondo, Rajon",Out,Health and Safety Protocols
10,,,,,"Snell, Tony",Out,Injury/Illness - Right Foot; Inflammation
11,,,,Chicago Bulls,"Dotson, Devon",Available,-
12,,,,,"Satoransky, Tomas",Available,-
13,,,,,"Young, Thaddeus",Out,Injury/Illness - Left Lower Leg; Infection
14,,,DET@MIN,Detroit Pistons,"Sirvydis, Deividas",Out,Not With Team
15,,,,Minnesota Timberwolves,"McLaughlin, Jordan",Out,Health and Safety Protocols
